도메인,질문번호,질문,1순위 답변,2순위 답변,3순위 답변,답변항목 설명
정책 인지도·만족도(체감도),ADD1,정책 관심도,"보통 (1161명, 56.9%)","관심 많음 (551명, 27.0%)","관심 없음 (329명, 16.1%)","관심 없음
보통
관심 많음"
정책 인지도·만족도(체감도),ADD3,수원시정 만족도,"만족 (1572명, 77.0%)","보통 (424명, 20.8%)","불만족 (45명, 2.2%)","불만족
보통
만족"
여가,Q10a8,문10. 복지서비스 제공 - 8. 문화 및 여가 지원,"⑤ (732명, 41.4%)","④보통 (629명, 35.5%)","⑥ (409명, 23.1%)","①매우 부족하다
②
③
④보통
⑤
⑥
⑦매우 충분하다
부족
보통
충분
모름/무응답"
여가,Q30,문30. 외부 여가활동 이용 빈도,"한 달에 2~3번 (872명, 49.1%)","일주일에 몇 번, 매일은 아님 (523명, 29.5%)","한달에 1번 (380명, 21.4%)","매일
일주일에 몇 번, 매일은 아님
한 달에 2~3번
한달에 1번
몇 달에 1번
기타"
여가,Q31m1,문31. 2023년 방문한 여가공간(중복 응답),"10. 영화관 (490명, 52.8%)","24. 목욕시설(목욕탕, 찜질방, 사우나, 온천 등) (293명, 31.6%)","09. 공연장 (145명, 15.6%)","01. 문예회관
02. 지방문화원
03. 문화의집
04. 생활문화센터
05. 사설문화센터
06. 미술관
07. 박물관·전시관
08. 기념관
09. 공연장
10. 영화관
11. 도서관·대형서점
12. 행정복지센터
13. 여성회관
14. 사회복지관
15. 노인복지관
16. 평생학습관
17. 학교시설
18. 학원(어학，기술，자격증 취득 등)
19. 노래방
20. PC방(복합멀티게임방)
21. 만화방
22. 오락장(아케이드게임방, 보드게임방 등)
23. 클럽(댄스포함)
24. 목욕시설(목욕탕, 찜질방, 사우나, 온천 등)
25. 미용관리실(피부관리, 네일아트, 마사지, 헤어숍 등)
26. 수족관(아쿠아리움)
27. 쇼핑몰(백화점 등)
28. 카페(커피숍, 방탈출, VR카페, 이색테마카페 등)
29. 대형마트
30. 식당(패밀리레스토랑, 주점 등)
31. 국민체육센터(주민체육센터 등)
32. 청소년수련관
33. 복합체육관
34. 헬스클럽
35. 골프연습장(스크린골프장)
36. 수영장
37. 당구장, 탁구장, 볼링장
38. 빙상경기장(아이스링크)
39. 기타 실내 체육시설
40. 종교시설(교회, 절, 성당 등)
41. 위에서 분류되지 않은 기타 실내시설
42. 운동경기장（축구, 농구，야구 등）
43. 학교운동장
44. 골프장
45. 기타 실외 체육시설
46. 생활권공원(근린공원，소공원，어린이공원 등)
47. 주제공원(역사공원, 수변공원, 체육공원 등)
48. 산림욕장
49. 식물원
50. 캠핑장
51. 산(자연공원 포함)
52. 차 없는 거리(나혜석 거리, 수원역 로데오거리)
53. 수원화성(행궁, 행리단길, 화성성곽)
54. 근대거리(향교로, 구 경기도청 일원)
55. 구 농촌진흥청 서울대학교 농생대(서호일원, 상상캠퍼스)
56. 재래시장
57. 아파트 내(집주변) 공터
58. 위에서 분류되지 않은 기타 실외공간"
여가,Q31m10,문31. 2023년 방문한 여가공간(중복 응답),"46. 생활권공원(근린공원，소공원，어린이공원 등) (109명, 42.7%)","53. 수원화성(행궁, 행리단길, 화성성곽) (73명, 28.6%)","57. 아파트 내(집주변) 공터 (73명, 28.6%)","01. 문예회관
02. 지방문화원
03. 문화의집
04. 생활문화센터
05. 사설문화센터
06. 미술관
07. 박물관·전시관
08. 기념관
09. 공연장
10. 영화관
11. 도서관·대형서점
12. 행정복지센터
13. 여성회관
14. 사회복지관
15. 노인복지관
16. 평생학습관
17. 학교시설
18. 학원(어학，기술，자격증 취득 등)
19. 노래방
20. PC방(복합멀티게임방)
21. 만화방
22. 오락장(아케이드게임방, 보드게임방 등)
23. 클럽(댄스포함)
24. 목욕시설(목욕탕, 찜질방, 사우나, 온천 등)
25. 미용관리실(피부관리, 네일아트, 마사지, 헤어숍 등)
26. 수족관(아쿠아리움)
27. 쇼핑몰(백화점 등)
28. 카페(커피숍, 방탈출, VR카페, 이색테마카페 등)
29. 대형마트
30. 식당(패밀리레스토랑, 주점 등)
31. 국민체육센터(주민체육센터 등)
32. 청소년수련관
33. 복합체육관
34. 헬스클럽
35. 골프연습장(스크린골프장)
36. 수영장
37. 당구장, 탁구장, 볼링장
38. 빙상경기장(아이스링크)
39. 기타 실내 체육시설
40. 종교시설(교회, 절, 성당 등)
41. 위에서 분류되지 않은 기타 실내시설
42. 운동경기장（축구, 농구，야구 등）
43. 학교운동장
44. 골프장
45. 기타 실외 체육시설
46. 생활권공원(근린공원，소공원，어린이공원 등)
47. 주제공원(역사공원, 수변공원, 체육공원 등)
48. 산림욕장
49. 식물원
50. 캠핑장
51. 산(자연공원 포함)
52. 차 없는 거리(나혜석 거리, 수원역 로데오거리)
53. 수원화성(행궁, 행리단길, 화성성곽)
54. 근대거리(향교로, 구 경기도청 일원)
55. 구 농촌진흥청 서울대학교 농생대(서호일원, 상상캠퍼스)
56. 재래시장
57. 아파트 내(집주변) 공터
58. 위에서 분류되지 않은 기타 실외공간"
여가,Q31m11,문31. 2023년 방문한 여가공간(중복 응답),"53. 수원화성(행궁, 행리단길, 화성성곽) (70명, 34.5%)","47. 주제공원(역사공원, 수변공원, 체육공원 등) (67명, 33.0%)","46. 생활권공원(근린공원，소공원，어린이공원 등) (66명, 32.5%)","01. 문예회관
02. 지방문화원
03. 문화의집
04. 생활문화센터
05. 사설문화센터
06. 미술관
07. 박물관·전시관
08. 기념관
09. 공연장
10. 영화관
11. 도서관·대형서점
12. 행정복지센터
13. 여성회관
14. 사회복지관
15. 노인복지관
16. 평생학습관
17. 학교시설
18. 학원(어학，기술，자격증 취득 등)
19. 노래방
20. PC방(복합멀티게임방)
21. 만화방
22. 오락장(아케이드게임방, 보드게임방 등)
23. 클럽(댄스포함)
24. 목욕시설(목욕탕, 찜질방, 사우나, 온천 등)
25. 미용관리실(피부관리, 네일아트, 마사지, 헤어숍 등)
26. 수족관(아쿠아리움)
27. 쇼핑몰(백화점 등)
28. 카페(커피숍, 방탈출, VR카페, 이색테마카페 등)
29. 대형마트
30. 식당(패밀리레스토랑, 주점 등)
31. 국민체육센터(주민체육센터 등)
32. 청소년수련관
33. 복합체육관
34. 헬스클럽
35. 골프연습장(스크린골프장)
36. 수영장
37. 당구장, 탁구장, 볼링장
38. 빙상경기장(아이스링크)
39. 기타 실내 체육시설
40. 종교시설(교회, 절, 성당 등)
41. 위에서 분류되지 않은 기타 실내시설
42. 운동경기장（축구, 농구，야구 등）
43. 학교운동장
44. 골프장
45. 기타 실외 체육시설
46. 생활권공원(근린공원，소공원，어린이공원 등)
47. 주제공원(역사공원, 수변공원, 체육공원 등)
48. 산림욕장
49. 식물원
50. 캠핑장
51. 산(자연공원 포함)
52. 차 없는 거리(나혜석 거리, 수원역 로데오거리)
53. 수원화성(행궁, 행리단길, 화성성곽)
54. 근대거리(향교로, 구 경기도청 일원)
55. 구 농촌진흥청 서울대학교 농생대(서호일원, 상상캠퍼스)
56. 재래시장
57. 아파트 내(집주변) 공터
58. 위에서 분류되지 않은 기타 실외공간"
여가,Q31m12,문31. 2023년 방문한 여가공간(중복 응답),"53. 수원화성(행궁, 행리단길, 화성성곽) (64명, 35.6%)","57. 아파트 내(집주변) 공터 (62명, 34.4%)","56. 재래시장 (54명, 30.0%)","01. 문예회관
02. 지방문화원
03. 문화의집
04. 생활문화센터
05. 사설문화센터
06. 미술관
07. 박물관·전시관
08. 기념관
09. 공연장
10. 영화관
11. 도서관·대형서점
12. 행정복지센터
13. 여성회관
14. 사회복지관
15. 노인복지관
16. 평생학습관
17. 학교시설
18. 학원(어학，기술，자격증 취득 등)
19. 노래방
20. PC방(복합멀티게임방)
21. 만화방
22. 오락장(아케이드게임방, 보드게임방 등)
23. 클럽(댄스포함)
24. 목욕시설(목욕탕, 찜질방, 사우나, 온천 등)
25. 미용관리실(피부관리, 네일아트, 마사지, 헤어숍 등)
26. 수족관(아쿠아리움)
27. 쇼핑몰(백화점 등)
28. 카페(커피숍, 방탈출, VR카페, 이색테마카페 등)
29. 대형마트
30. 식당(패밀리레스토랑, 주점 등)
31. 국민체육센터(주민체육센터 등)
32. 청소년수련관
33. 복합체육관
34. 헬스클럽
35. 골프연습장(스크린골프장)
36. 수영장
37. 당구장, 탁구장, 볼링장
38. 빙상경기장(아이스링크)
39. 기타 실내 체육시설
40. 종교시설(교회, 절, 성당 등)
41. 위에서 분류되지 않은 기타 실내시설
42. 운동경기장（축구, 농구，야구 등）
43. 학교운동장
44. 골프장
45. 기타 실외 체육시설
46. 생활권공원(근린공원，소공원，어린이공원 등)
47. 주제공원(역사공원, 수변공원, 체육공원 등)
48. 산림욕장
49. 식물원
50. 캠핑장
51. 산(자연공원 포함)
52. 차 없는 거리(나혜석 거리, 수원역 로데오거리)
53. 수원화성(행궁, 행리단길, 화성성곽)
54. 근대거리(향교로, 구 경기도청 일원)
55. 구 농촌진흥청 서울대학교 농생대(서호일원, 상상캠퍼스)
56. 재래시장
57. 아파트 내(집주변) 공터
58. 위에서 분류되지 않은 기타 실외공간"
여가,Q31m13,문31. 2023년 방문한 여가공간(중복 응답),"57. 아파트 내(집주변) 공터 (65명, 41.7%)","53. 수원화성(행궁, 행리단길, 화성성곽) (52명, 33.3%)","56. 재래시장 (39명, 25.0%)","01. 문예회관
02. 지방문화원
03. 문화의집
04. 생활문화센터
05. 사설문화센터
06. 미술관
07. 박물관·전시관
08. 기념관
09. 공연장
10. 영화관
11. 도서관·대형서점
12. 행정복지센터
13. 여성회관
14. 사회복지관
15. 노인복지관
16. 평생학습관
17. 학교시설
18. 학원(어학，기술，자격증 취득 등)
19. 노래방
20. PC방(복합멀티게임방)
21. 만화방
22. 오락장(아케이드게임방, 보드게임방 등)
23. 클럽(댄스포함)
24. 목욕시설(목욕탕, 찜질방, 사우나, 온천 등)
25. 미용관리실(피부관리, 네일아트, 마사지, 헤어숍 등)
26. 수족관(아쿠아리움)
27. 쇼핑몰(백화점 등)
28. 카페(커피숍, 방탈출, VR카페, 이색테마카페 등)
29. 대형마트
30. 식당(패밀리레스토랑, 주점 등)
31. 국민체육센터(주민체육센터 등)
32. 청소년수련관
33. 복합체육관
34. 헬스클럽
35. 골프연습장(스크린골프장)
36. 수영장
37. 당구장, 탁구장, 볼링장
38. 빙상경기장(아이스링크)
39. 기타 실내 체육시설
40. 종교시설(교회, 절, 성당 등)
41. 위에서 분류되지 않은 기타 실내시설
42. 운동경기장（축구, 농구，야구 등）
43. 학교운동장
44. 골프장
45. 기타 실외 체육시설
46. 생활권공원(근린공원，소공원，어린이공원 등)
47. 주제공원(역사공원, 수변공원, 체육공원 등)
48. 산림욕장
49. 식물원
50. 캠핑장
51. 산(자연공원 포함)
52. 차 없는 거리(나혜석 거리, 수원역 로데오거리)
53. 수원화성(행궁, 행리단길, 화성성곽)
54. 근대거리(향교로, 구 경기도청 일원)
55. 구 농촌진흥청 서울대학교 농생대(서호일원, 상상캠퍼스)
56. 재래시장
57. 아파트 내(집주변) 공터
58. 위에서 분류되지 않은 기타 실외공간"
여가,Q31m14,문31. 2023년 방문한 여가공간(중복 응답),"53. 수원화성(행궁, 행리단길, 화성성곽) (43명, 38.4%)","57. 아파트 내(집주변) 공터 (41명, 36.6%)","47. 주제공원(역사공원, 수변공원, 체육공원 등) (28명, 25.0%)","01. 문예회관
02. 지방문화원
03. 문화의집
04. 생활문화센터
05. 사설문화센터
06. 미술관
07. 박물관·전시관
08. 기념관
09. 공연장
10. 영화관
11. 도서관·대형서점
12. 행정복지센터
13. 여성회관
14. 사회복지관
15. 노인복지관
16. 평생학습관
17. 학교시설
18. 학원(어학，기술，자격증 취득 등)
19. 노래방
20. PC방(복합멀티게임방)
21. 만화방
22. 오락장(아케이드게임방, 보드게임방 등)
23. 클럽(댄스포함)
24. 목욕시설(목욕탕, 찜질방, 사우나, 온천 등)
25. 미용관리실(피부관리, 네일아트, 마사지, 헤어숍 등)
26. 수족관(아쿠아리움)
27. 쇼핑몰(백화점 등)
28. 카페(커피숍, 방탈출, VR카페, 이색테마카페 등)
29. 대형마트
30. 식당(패밀리레스토랑, 주점 등)
31. 국민체육센터(주민체육센터 등)
32. 청소년수련관
33. 복합체육관
34. 헬스클럽
35. 골프연습장(스크린골프장)
36. 수영장
37. 당구장, 탁구장, 볼링장
38. 빙상경기장(아이스링크)
39. 기타 실내 체육시설
40. 종교시설(교회, 절, 성당 등)
41. 위에서 분류되지 않은 기타 실내시설
42. 운동경기장（축구, 농구，야구 등）
43. 학교운동장
44. 골프장
45. 기타 실외 체육시설
46. 생활권공원(근린공원，소공원，어린이공원 등)
47. 주제공원(역사공원, 수변공원, 체육공원 등)
48. 산림욕장
49. 식물원
50. 캠핑장
51. 산(자연공원 포함)
52. 차 없는 거리(나혜석 거리, 수원역 로데오거리)
53. 수원화성(행궁, 행리단길, 화성성곽)
54. 근대거리(향교로, 구 경기도청 일원)
55. 구 농촌진흥청 서울대학교 농생대(서호일원, 상상캠퍼스)
56. 재래시장
57. 아파트 내(집주변) 공터
58. 위에서 분류되지 않은 기타 실외공간"
