질문번호,질문,1순위,2순위,3순위,답변항목 설명
ID,번호,"1 (1명, 0.1%)","24 (1명, 0.1%)","4 (1명, 0.1%)",
GU,주거구,"2 (610명, 38.4%)","4 (378명, 23.8%)","1 (337명, 21.2%)","① 장안구
② 권선구
③ 팔달구
④ 영통구"
q1,1. 귀하는 수원시의 시책이나 시정 운영에 대해 어느 정도 알고 계십니까?,"5 (549명, 34.6%)","6 (408명, 25.7%)","4 (322명, 20.3%)","① 전혀 모르고 있다
②
③
④ 보통이다
⑤
⑥
⑦ 매우 잘 알고 있다"
q2,2. 귀하는 수원시의 시책이나 시정 운영에 대해 평소 관심이 있으십니까?,"5 (517명, 32.6%)","6 (411명, 25.9%)","4 (308명, 19.4%)","① 전혀 관심이 없다
②
③
④ 보통이다
⑤
⑥
⑦ 매우 관심 있다"
q3,3. 귀하는 수원시가 시민들을 위해 추진하고 있는 정책 전반에 대해 얼마나 만족하십니까? ,"5 (538명, 33.9%)","6 (451명, 28.4%)","4 (296명, 18.7%)","① 전혀 만족하지 못한다
②
③
④ 보통이다
⑤
⑥
⑦ 매우 만족한다"
q3_1_1,"3-1. (⑤, ⑥, ⑦ 만족 응답자만) 
수원시 시정운영에 만족하시는 경우, 그 이유는 무엇입니까? 2가지를 중요한 순서대로 선택해 주십시오. (1순위) ","nan (439명, 27.7%)","2.0 (327명, 20.6%)","1.0 (322명, 20.3%)","① 수원시 정책 추진 방향에 공감해서 
② 정책 추진력 및 속도가 빨라서
③ 시민과의 소통 및 경청을 잘해서
④ 내 삶에 도움되는 정책이 많아서
⑤ 시정 운영을 안정적으로 해서
⑥ 정부, 경기도, 타지자체와 협력을 잘해서 
⑦ 정책 홍보를 잘해서
⑧ 기타(                           )"
q3_1_2,"3-1. (⑤, ⑥, ⑦ 만족 응답자만) 
수원시 시정운영에 만족하지 않는 경우, 그 이유는 무엇입니까? 2가지를 중요한 순서대로 선택해 주십시오. (2순위)","nan (439명, 27.7%)","5.0 (252명, 15.9%)","2.0 (212명, 13.4%)","① 수원시 정책 추진 방향에 공감해서 
② 정책 추진력 및 속도가 빨라서
③ 시민과의 소통 및 경청을 잘해서
④ 내 삶에 도움되는 정책이 많아서
⑤ 시정 운영을 안정적으로 해서
⑥ 정부, 경기도, 타지자체와 협력을 잘해서 
⑦ 정책 홍보를 잘해서
⑧ 기타(                           )"
q3_1_op,3-1. (기타 오픈응답),"nan (1587명, 100.0%)",,,
q3_2_1,"3-2. (①, ②, ③ 불만족 응답자만) 
수원시 시정운영에 만족하시는 경우, 그 이유는 무엇입니까? 2가지를 중요한 순서대로 선택해 주십시오. (1순위)","nan (1490명, 93.9%)","3.0 (25명, 1.6%)","2.0 (22명, 1.4%)","① 수원시 정책 추진 방향이 공감되지 않아서
② 정책 추진력 및 속도가 느려서
③ 시민과의 소통 및 경청이 부족해서
④ 정책이 내 삶에 도움이 되지 않아서
⑤ 시정 운영이 불안정해서 
⑥ 정부, 경기도, 타지자체와 협력을 못해서
⑦ 정책 홍보를 못해서
⑧ 기타(                           )"
q3_2_2,"3-2. (①, ②, ③ 불만족 응답자만) 
수원시 시정운영에 만족하지 않는 경우, 그 이유는 무엇입니까? 2가지를 중요한 순서대로 선택해 주십시오. (2순위)","nan (1490명, 93.9%)","5.0 (19명, 1.2%)","4.0 (17명, 1.1%)","① 수원시 정책 추진 방향이 공감되지 않아서
② 정책 추진력 및 속도가 느려서
③ 시민과의 소통 및 경청이 부족해서
④ 정책이 내 삶에 도움이 되지 않아서
⑤ 시정 운영이 불안정해서 
⑥ 정부, 경기도, 타지자체와 협력을 못해서
⑦ 정책 홍보를 못해서
⑧ 기타(                           )"
