도메인,질문번호,질문,1순위 답변,2순위 답변,3순위 답변,답변항목 설명
정책 인지도·만족도(체감도),ADD1,정책 관심도,"보통 (1161명, 56.9%)","관심 많음 (551명, 27.0%)","관심 없음 (329명, 16.1%)","관심 없음
보통
관심 많음"
정책 인지도·만족도(체감도),ADD3,수원시정 만족도,"만족 (1572명, 77.0%)","보통 (424명, 20.8%)","불만족 (45명, 2.2%)","불만족
보통
만족"
도시 이미지·정체성,D5a1,문D5. 수원 거주 총기간 - 년,"20 (139명, 38.7%)","30 (122명, 34.0%)","25 (98명, 27.3%)",
도시 이미지·정체성,D5a2,문D5. 수원 거주 총기간 - 개월,"0 (751명, 73.0%)","3 (142명, 13.8%)","2 (136명, 13.2%)",
경제,D8,문D8. 월평균 가구소득,"300만원 이상 ~ 400만원 미만 (473명, 39.1%)","400만원 이상 ~ 500만원 미만 (388명, 32.0%)","500만원 이상 ~ 600만원 미만 (350명, 28.9%)","소득 없음
100만원 미만
100만원 이상 ~ 200만원 미만
200만원 이상 ~ 300만원 미만
300만원 이상 ~ 400만원 미만
400만원 이상 ~ 500만원 미만
500만원 이상 ~ 600만원 미만
600만원 이상 ~ 700만원 미만
700만원 이상 ~ 800만원 미만
800만원 이상 ~ 900만원 미만
900만원 이상 ~ 1,000만원 미만
1,000만원 이상"
경제,D8op,문D8. 월평균 가구소득_기타,"350 (617명, 43.2%)","250 (525명, 36.7%)","0 (287명, 20.1%)",
경제,D9,문D9. 경제·사회적 위치,"⑤중간 (610명, 44.2%)","④ (434명, 31.4%)","⑥ (337명, 24.4%)","ⓞ최하
①
②
③
④
⑤중간
⑥
⑦
⑧
⑨
⑩최상"
경제,DM11,월평균 가구소득,"300~400만원 미만 (473명, 39.1%)","400~500만원 미만 (388명, 32.0%)","500~600만원 미만 (350명, 28.9%)","200만원 미만
200~300만원 미만
300~400만원 미만
400~500만원 미만
500~600만원 미만
600~700만원 미만
700만원 이상"
경제,DM12,경제사회적 위치,"하위 (840명, 41.2%)","중간 (610명, 29.9%)","상위 (591명, 29.0%)","하위
중간
상위"
도시 이미지·정체성,DM32,수원시 생활권,"화성생활권 (386명, 34.8%)","영통생활권 (373명, 33.6%)","남수원생활권 (350명, 31.6%)","광교생활권
남수원생활권
북수원생활권
서수원생활권
영통생활권
화성생활권"
도시 이미지·정체성,DM7,수원 거주 기간,"20~30년 미만 (514명, 40.0%)","10~20년 미만 (480명, 37.4%)","30~40년 미만 (290명, 22.6%)","5년 미만
5~10년 미만
10~20년 미만
20~30년 미만
30~40년 미만
40~50년 미만
50년 이상"
여가,Q10a8,문10. 복지서비스 제공 - 8. 문화 및 여가 지원,"⑤ (732명, 41.4%)","④보통 (629명, 35.5%)","⑥ (409명, 23.1%)","①매우 부족하다
②
③
④보통
⑤
⑥
⑦매우 충분하다
부족
보통
충분
모름/무응답"
도시 이미지·정체성,Q11,문11. 수원시에 가장 필요한 복지시설,"아동 대상 시설(어린이집, 다함께 돌봄센터 등) (680명, 39.8%)","노인 대상 시설(노인복지관, 경로당 등) (631명, 36.9%)","장애인 대상 시설(장애인주간보호시설, 장애인복지관 등) (399명, 23.3%)","아동 대상 시설(어린이집, 다함께 돌봄센터 등)
노인 대상 시설(노인복지관, 경로당 등)
장애인 대상 시설(장애인주간보호시설, 장애인복지관 등)
여성 대상 시설(여성가족회관 등)
기타(노숙자 및 이주민 등)"
정책 인지도·만족도(체감도),Q15a1,"문15. 대중교통 수단 만족도 - 1. 버스(시내, 마을버스 등)","⑤ (933명, 50.3%)","⑥ (615명, 33.2%)","④보통 (307명, 16.5%)","①전혀 만족하지 않는다
②
③
④보통
⑤
⑥
⑦매우 만족한다
불만족
보통
만족
모름/무응답"
정책 인지도·만족도(체감도),Q15a2,문15. 대중교통 수단 만족도 - 2. 지하철(기차 포함),"⑤ (771명, 42.9%)","⑥ (604명, 33.6%)","④보통 (424명, 23.6%)","①전혀 만족하지 않는다
②
③
④보통
⑤
⑥
⑦매우 만족한다
불만족
보통
만족
모름/무응답"
정책 인지도·만족도(체감도),Q15a3,문15. 대중교통 수단 만족도 - 3. 택시,"⑤ (916명, 50.2%)","④보통 (520명, 28.5%)","⑥ (389명, 21.3%)","①전혀 만족하지 않는다
②
③
④보통
⑤
⑥
⑦매우 만족한다
불만족
보통
만족
모름/무응답"
정책 인지도·만족도(체감도),Q15a4,문15. 대중교통 수단 만족도 - 4. 시외버스/고속버스,"⑤ (890명, 48.1%)","④보통 (547명, 29.6%)","⑥ (414명, 22.4%)","①전혀 만족하지 않는다
②
③
④보통
⑤
⑥
⑦매우 만족한다
불만족
보통
만족
모름/무응답"
정책 인지도·만족도(체감도),Q15a5,문15. 대중교통 수단 만족도 - 5. 킥보드 등 개인형 이동수단(PM),"④보통 (801명, 46.7%)","⑤ (623명, 36.3%)","③ (293명, 17.1%)","①전혀 만족하지 않는다
②
③
④보통
⑤
⑥
⑦매우 만족한다
불만족
보통
만족
모름/무응답"
도시 이미지·정체성,Q16a1,문16. 수원시 교통환경 - 1. 교통인프라 환경,"⑤ (1011명, 53.9%)","⑥ (559명, 29.8%)","④보통 (306명, 16.3%)","①매우 개선이 필요하다
②
③
④보통
⑤
⑥
⑦매우 잘 마련되어 있다
개선 필요
보통
구축됨
모름/무응답"
도시 이미지·정체성,Q16a2,문16. 수원시 교통환경 - 2. 교통약자 이용 환경,"⑤ (841명, 47.9%)","④보통 (476명, 27.1%)","⑥ (437명, 24.9%)","①매우 개선이 필요하다
②
③
④보통
⑤
⑥
⑦매우 잘 마련되어 있다
개선 필요
보통
구축됨
모름/무응답"
도시 이미지·정체성,Q16a3,문16. 수원시 교통환경 - 3. 자전거 등 개인 이동수단 환경,"⑤ (836명, 46.7%)","④보통 (601명, 33.6%)","⑥ (352명, 19.7%)","①매우 개선이 필요하다
②
③
④보통
⑤
⑥
⑦매우 잘 마련되어 있다
개선 필요
보통
구축됨
모름/무응답"
도시 이미지·정체성,Q16a4,문16. 수원시 교통환경 - 4. 보행환경,"⑤ (863명, 46.9%)","④보통 (585명, 31.8%)","⑥ (394명, 21.4%)","①매우 개선이 필요하다
②
③
④보통
⑤
⑥
⑦매우 잘 마련되어 있다
개선 필요
보통
구축됨
모름/무응답"
도시 이미지·정체성,Q17_1a3op,문17-1. 통근·통학 시 이동 지역 - ③ 수원시 내 다른 구_기타,"장안구 (83명, 35.6%)","권선구 (75명, 32.2%)","영통구 (75명, 32.2%)",
도시 이미지·정체성,Q17_1a4op,문17-1. 통근·통학 시 이동 지역 - ④ 수원시 외 다른 시_기타,"서울시 (71명, 47.3%)","용인시 (54명, 36.0%)","화성시 (25명, 16.7%)",
정책 인지도·만족도(체감도),Q17_4,문17-4. 통근·통학 환경 만족도,"⑤ (737명, 50.1%)","⑥ (473명, 32.2%)","④보통 (261명, 17.7%)","①전혀 만족하지 않는다
②
③
④보통
⑤
⑥
⑦매우 만족한다
불만족
보통
만족
모름/무응답"
도시 이미지·정체성,Q18a1,문18. 수원시 안전 수준 - 1. 자연재난,"⑤ (978명, 52.7%)","⑥ (477명, 25.7%)","④보통 (402명, 21.6%)","①전혀 안전하지 않다
②
③
④보통
⑤
⑥
⑦매우 안전하다
안전하지 않음
보통
안전함
모름/무응답"
도시 이미지·정체성,Q18a2,문18. 수원시 안전 수준 - 2. 사회재난,"⑤ (758명, 42.9%)","④보통 (539명, 30.5%)","⑥ (471명, 26.6%)","①전혀 안전하지 않다
②
③
④보통
⑤
⑥
⑦매우 안전하다
안전하지 않음
보통
안전함
모름/무응답"
도시 이미지·정체성,Q18a3,문18. 수원시 안전 수준 - 3. 정보보안,"⑤ (757명, 45.1%)","④보통 (550명, 32.8%)","⑥ (372명, 22.2%)","①전혀 안전하지 않다
②
③
④보통
⑤
⑥
⑦매우 안전하다
안전하지 않음
보통
안전함
모름/무응답"
도시 이미지·정체성,Q18a4,문18. 수원시 안전 수준 - 4. 감염병,"⑤ (747명, 44.0%)","④보통 (584명, 34.4%)","⑥ (367명, 21.6%)","①전혀 안전하지 않다
②
③
④보통
⑤
⑥
⑦매우 안전하다
안전하지 않음
보통
안전함
모름/무응답"
도시 이미지·정체성,Q18a5,문18. 수원시 안전 수준 - 5. 범죄위험,"⑤ (789명, 45.1%)","④보통 (704명, 40.3%)","③ (255명, 14.6%)","①전혀 안전하지 않다
②
③
④보통
⑤
⑥
⑦매우 안전하다
안전하지 않음
보통
안전함
모름/무응답"
도시 이미지·정체성,Q19,문19. 수원시 내 CCTV 도움 여부,"①매우 도움 (999명, 49.1%)","②약간 도움 (871명, 42.8%)","③별로 도움 안됨 (165명, 8.1%)","①매우 도움
②약간 도움
③별로 도움 안됨
④전혀 도움 안됨
도움됨
도움되지 않음
모름/무응답"
정책 인지도·만족도(체감도),Q1a4,문1. 한 주 간 삶의 질 - 4. 내 삶에 만족했다,"⑤ (874명, 46.8%)","⑥ (532명, 28.5%)","④보통 (461명, 24.7%)","①전혀 그렇지 않다
②
③
④보통
⑤
⑥
⑦매우 그렇다
그렇지 않다
보통
그렇다
모름/무응답"
도시 이미지·정체성,Q20,문20. 5년 전 수원시민이 경험하는 위험 변화,"③5년 전과 비슷하다 (993명, 51.2%)","②위험이 약간 커졌다 (573명, 29.6%)","④위험이 약간 줄었다 (373명, 19.2%)","①위험이 매우 커졌다
②위험이 약간 커졌다
③5년 전과 비슷하다
④위험이 약간 줄었다
⑤위험이 많이 줄었다
증가
비슷
감소
모름/무응답"
도시 이미지·정체성,Q21,문21. 5년 후 수원시민이 경험하는 위험 변화 예측,"③현재와 비슷할 것이다 (1024명, 54.1%)","②위험이 다소 커질 것이다 (485명, 25.6%)","④위험이 약간 줄어들 것이다 (385명, 20.3%)","①위험이 매우 커질 것이다
②위험이 다소 커질 것이다
③현재와 비슷할 것이다
④위험이 약간 줄어들 것이다
⑤위험이 많이 줄어들 것이다
증가
비슷
감소
모름/무응답"
도시 이미지·정체성,Q22a1,문22. 수원시 환경문제 수준 - 1. 쓰레기/폐기물,"⑤ (896명, 50.3%)","⑥ (558명, 31.3%)","④보통 (327명, 18.4%)","①매우 나쁘다
②
③
④보통
⑤
⑥
⑦매우 좋다
나쁨
보통
좋음
모름/무응답"
